model,method,matched_F1@0.5_mean,matched_F1@0.5_std,matched_F1@0.5_min,matched_F1@0.5_max,matched_F1@0.95_mean,matched_F1@0.95_std,matched_F1@0.95_min,matched_F1@0.95_max,matched_Precision@0.5_mean,matched_Precision@0.5_std,matched_Precision@0.5_min,matched_Precision@0.5_max,matched_Precision@0.95_mean,matched_Precision@0.95_std,matched_Precision@0.95_min,matched_Precision@0.95_max,matched_Recall@0.5_mean,matched_Recall@0.5_std,matched_Recall@0.5_min,matched_Recall@0.5_max,matched_Recall@0.95_mean,matched_Recall@0.95_std,matched_Recall@0.95_min,matched_Recall@0.95_max,matched_mAP@0.5_mean,matched_mAP@0.5_std,matched_mAP@0.5_min,matched_mAP@0.5_max,matched_mAP@0.5:0.95_mean,matched_mAP@0.5:0.95_std,matched_mAP@0.5:0.95_min,matched_mAP@0.5:0.95_max,matched_mAP@0.75_mean,matched_mAP@0.75_std,matched_mAP@0.75_min,matched_mAP@0.75_max,matched_mAP@0.95_mean,matched_mAP@0.95_std,matched_mAP@0.95_min,matched_mAP@0.95_max,group_name,num_seeds,seeds,mixed_F1@0.5_mean,mixed_F1@0.5_std,mixed_F1@0.5_min,mixed_F1@0.5_max,mixed_F1@0.95_mean,mixed_F1@0.95_std,mixed_F1@0.95_min,mixed_F1@0.95_max,mixed_Precision@0.5_mean,mixed_Precision@0.5_std,mixed_Precision@0.5_min,mixed_Precision@0.5_max,mixed_Precision@0.95_mean,mixed_Precision@0.95_std,mixed_Precision@0.95_min,mixed_Precision@0.95_max,mixed_Recall@0.5_mean,mixed_Recall@0.5_std,mixed_Recall@0.5_min,mixed_Recall@0.5_max,mixed_Recall@0.95_mean,mixed_Recall@0.95_std,mixed_Recall@0.95_min,mixed_Recall@0.95_max,mixed_mAP@0.5_mean,mixed_mAP@0.5_std,mixed_mAP@0.5_min,mixed_mAP@0.5_max,mixed_mAP@0.5:0.95_mean,mixed_mAP@0.5:0.95_std,mixed_mAP@0.5:0.95_min,mixed_mAP@0.5:0.95_max,mixed_mAP@0.75_mean,mixed_mAP@0.75_std,mixed_mAP@0.75_min,mixed_mAP@0.75_max,mixed_mAP@0.95_mean,mixed_mAP@0.95_std,mixed_mAP@0.95_min,mixed_mAP@0.95_max,forgetting_max,forgetting_mean,forgetting_min,forgetting_std
base,det_lora,0.026979122913372264,9.056031038867844e-06,0.02697082598064787,0.026991720535182822,0.00376363302004493,0.00024869669897217963,0.003508616717281837,0.004100903146324861,0.013682408405531548,4.593776067488882e-06,0.013678164066424824,0.013688790077050832,0.0019086592119283681,0.0001260757106424044,0.0017794474252996026,0.002079664648795027,0.9696798455541666,0.00038889440970018554,0.969259406945619,0.970197118314985,0.1360613216885459,0.009236572591772789,0.12620770402488274,0.1484145074343505,0.8078524482106415,0.007868266903856159,0.7975788924682535,0.8166912492329669,0.5563603401751281,0.004791743743824102,0.5496233280872735,0.560361865378159,0.6401615495834251,0.006347517379819094,0.6329346226374492,0.6483864239596837,0.020578845862777057,0.002445965088306679,0.017648880282658624,0.02363618354239877,base:det_lora,3,"42,43,44",0.0288177507734014,0.0007149777618753238,0.02801272007734491,0.02975010947919633,0.0036113426079183624,0.00046085178962115456,0.0030300183865416396,0.0041571971366486625,0.014643300427984788,0.00037469580915232753,0.01422252950180386,0.015132629066032284,0.0018344348567806438,0.00023516403712089856,0.0015367772545142242,0.002111728246000429,0.9640555811019942,0.0017115754081890174,0.961873574555768,0.9660539823809712,0.12467840997153265,0.012863332564172755,0.11009529144770651,0.14138790306071325,0.6251419805062616,0.00757509803704556,0.6190418105903853,0.6358186053516163,0.42673187840511534,0.002298515995521984,0.42349476695257254,0.42860655081449783,0.48871146042249525,0.0048715536874280995,0.4832107087360867,0.4950540989450698,0.013818082781631751,0.0028620439417569995,0.01012489233825848,0.017098972794689454,0.0,0.0,0.0,0.0
base,joint_finetuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,base:joint_finetuning,3,"42,43,44",0.031222159231755718,0.0010620469186510154,0.029836828116527433,0.03241737703740925,0.004236472049772793,0.001279142952495255,0.00255547966652513,0.005655767425030226,0.015901994757081803,0.00056550905035959,0.015168505561620018,0.016544775456008763,0.002157732858939606,0.0006551665807013149,0.0012979356470896174,0.0028866740012587033,0.990113271669517,0.004391873855111775,0.9864570297556193,0.9962895825072225,0.1376484366628043,0.035889997034691756,0.08966344403431094,0.1759663716285497,0.8833795405555827,0.03690407855466419,0.8460378420848946,0.9336267209179971,0.6506347773290958,0.041607881355342956,0.6040284513442119,0.7050460014948654,0.7545334396152609,0.04982504877709917,0.6948205965876987,0.8167871682954525,0.03069307377009869,0.012060084984691775,0.01393525628388132,0.041819734245251684,,,,
large,det_lora,0.027418437683341065,6.832309056070628e-05,0.02732759202988626,0.02749236257125581,0.0037885383703500945,0.00028507416773124883,0.0035529682943484914,0.004189662385780662,0.013905097858870957,3.4655735155331426e-05,0.013858983566277792,0.013942529774129464,0.001921069860273892,0.0001446064240559574,0.0018017643969317312,0.0021245668884252683,0.9860365346854071,0.0024210703365641303,0.9830553554906357,0.9889854796298817,0.13814372655101084,0.01013380714179708,0.12873228921141314,0.15220945089296747,0.8164106492285481,0.0030829789747297345,0.8141456912547675,0.8207695214138403,0.5735614416438979,0.00435653231633972,0.5678102754542613,0.5783506930300756,0.6511176635466223,0.0010961924094740145,0.6501815194805475,0.6526558675404698,0.022943097066688258,0.004202225735276383,0.01746969764209608,0.027684659804102077,large:det_lora,3,"42,43,44",0.02921307396834494,0.0015262339824308494,0.027712744044593878,0.03130705545177873,0.0037206034503094168,8.633501350779637e-05,0.0035986216670332895,0.0037861698471293136,0.014848420487825174,0.000803189635671925,0.014062706968368774,0.01595167226814669,0.00188981924457252,4.094033492103124e-05,0.0018319412939472553,0.0019200900076812646,0.9750567117919521,0.0026701869661279894,0.9723355187829892,0.9786847251321958,0.1302999068922147,0.007088126065997768,0.12231979175086514,0.13954359353614143,0.6682601560805059,0.016436836848054328,0.6507621020058512,0.6902612767658075,0.46482628484374805,0.015507515809109708,0.4535947459760778,0.4867550543343689,0.5241039096182987,0.015426755715844736,0.5091417781293378,0.5453355445820808,0.0162966252912965,0.0032926749982126113,0.013692570988426684,0.020941815444524847,0.0,0.0,0.0,0.0
large,joint_finetuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large:joint_finetuning,3,"42,43,44",0.03185641835304003,0.002358585726457067,0.029395232459600625,0.0350367069021607,0.0041115531360583326,0.0011690807336791184,0.0026690559235887645,0.005532463079514706,0.01625257940481793,0.0012675918395447577,0.014938232786244114,0.01796547679368405,0.0020957942308388274,0.0006035285095625203,0.0013546099199639196,0.002832930184159702,0.9928354500812974,0.002618333711086566,0.9891326097940949,0.994702280919921,0.1382291977290664,0.027750526394286178,0.1003044245579063,0.16593350959898753,0.9006086988749358,0.017213547141172125,0.8797965053405602,0.9219509173490087,0.6627836336045273,0.023408767147786398,0.635621339256002,0.6927541948428124,0.7772133902392141,0.03193532628495595,0.7453495081341509,0.820863869497897,0.036140021679612944,0.007952952389273576,0.025191478577346573,0.043843918874759046,,,,
medium,det_lora,0.027477197913486556,6.060367273898715e-05,0.027410177175936728,0.027556972450663044,0.0033930157814876624,5.125942514432032e-05,0.0033552027224144666,0.0034654846338065533,0.013934831279126408,3.0715947389246046e-05,0.013900886871942563,0.013975277661122087,0.0017203875951453157,2.604416630987561e-05,0.0017011636811998614,0.0017572076161364184,0.9884940745162805,0.002287683679358722,0.985828061614047,0.9914143825546987,0.12442740643419761,0.0014992265133987103,0.12335109977770758,0.12654755002588072,0.8184845155193173,0.0033825373347622363,0.8137009240408859,0.8208929743074505,0.5723971323219047,0.0008992401228265804,0.5711303254024057,0.5731272279182728,0.6566732243299973,0.0014428285371808013,0.6548266415047078,0.6583483336617982,0.02190028412181668,0.001741350331083434,0.02022393472960417,0.024300777927377896,medium:det_lora,3,"42,43,44",0.02926818345344157,0.001097864542604099,0.028170082770786916,0.030767807831299454,0.003534902313132966,4.5714561959505646e-05,0.0034815971261678695,0.00359323533503254,0.014875483014805868,0.0005796505076936728,0.014296376008486286,0.01566749882802282,0.0017958301265691996,2.553813280834512e-05,0.001766653257212078,0.0018288529601230453,0.9779076072969172,0.002761211098328363,0.9740027612964584,0.9798837658995817,0.12102631986302911,0.0019253519049335025,0.11831635842690087,0.122610542151865,0.6670996269609429,0.010225453879106778,0.658900569292111,0.6815152330807415,0.46262632639728785,0.008132359849288945,0.4566759090290567,0.47412487450532526,0.5285885421795337,0.008655022168136068,0.5208120829802826,0.54066268192026,0.01656999540504557,0.0008653196184572209,0.015460703722684344,0.017572157766271617,0.0,0.0,0.0,0.0
medium,joint_finetuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medium:joint_finetuning,3,"42,43,44",0.030988779656189302,0.0015095672061999374,0.029611913478078174,0.03309014210325668,0.004428919287900577,0.0010327821138816085,0.0033425572402462473,0.005817571463330719,0.01577128630901912,0.0007917493425340603,0.015047668093662184,0.01687308395776252,0.0022535768684918914,0.000528856104650986,0.0016983706758025394,0.002965164678668135,0.9929225598806375,0.003254700389397327,0.990136625858352,0.9974886232746086,0.1443469200253704,0.028648223427621,0.1106959770785057,0.1807118793996788,0.8870629611111619,0.03430744476044284,0.8521802739193935,0.9337087521371411,0.6508386075527173,0.04275246146621239,0.6047808221684584,0.7077890235929089,0.7604474258292097,0.050908924810810365,0.7051088725420819,0.8280016786938383,0.0353863934299746,0.006708735076305235,0.028678141442348554,0.044550872764072165,,,,
nano,det_lora,0.02758646057093496,0.00011808950427015057,0.027459211879921886,0.027743752010475364,0.004628279676105049,0.00021114096806266086,0.0043477432447037835,0.004857121282754311,0.0139903236205084,5.989262388777371e-05,0.013925773192926573,0.014070092216138218,0.002346860381167139,0.00010716143054128662,0.0022044962229417586,0.002463039050518053,0.9919811948956312,0.004190985380545764,0.987542294623244,0.9976019184652278,0.1688031518134874,0.007207942645499082,0.15916257615551657,0.17649156298508062,0.8186407707787882,0.006007292326228906,0.8102701356761366,0.8240833443194996,0.5628642925194317,0.004340594973901638,0.5575229822438582,0.5681548618726519,0.6508328566880696,0.006757108493278456,0.6421433518518156,0.6586210306691834,0.019278529817148286,0.0029288336713877406,0.01677381118331249,0.023387791028771126,nano:det_lora,3,"42,43,44",0.02991232533697947,0.001704594587367746,0.028457745770791187,0.03230443125861437,0.004600457290762135,0.0005156004174240752,0.003941265793407412,0.005199989352360247,0.015220342447696572,0.000905311422735678,0.014452925847349911,0.016491568060004052,0.002342477684982873,0.00026982934429441483,0.0020003411655408355,0.0026598974534477273,0.9764996833105014,0.0032871885592286715,0.9718513568753449,0.9788804941233892,0.14826285327735853,0.0069229937258336845,0.1394352238392463,0.15634361251050669,0.6295563159157875,0.004800979137547253,0.6250207385873415,0.636199662229272,0.43256242714958926,0.0037731454202160563,0.4274489700640957,0.43643989677947537,0.49737617498429537,0.003918966389724756,0.49361478999614916,0.502781982167836,0.01524940243858616,0.004294982617805192,0.011213929428826605,0.021198618527731857,0.0,0.0,0.0,0.0
nano,joint_finetuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nano:joint_finetuning,3,"42,43,44",0.02934875050332171,0.0008259592020510327,0.028625650195575086,0.030504754786696356,0.004225578455144999,0.00027897087761553414,0.0038435747585982825,0.004501973556693164,0.014916842133925525,0.00043586514683494553,0.014535918170614273,0.015526994882658065,0.002147145188059688,0.00014148560505248368,0.001952370465294397,0.0022842108833839078,0.9908274552894157,0.0009646357188907781,0.989861800484146,0.9921447982419563,0.14429656738604044,0.013966675871658764,0.13015555855468844,0.16330968266700385,0.8641479504908905,0.021006005978869136,0.8361087277581597,0.886666380727232,0.634592080332985,0.021551611115504823,0.6070609015854588,0.6596816954966228,0.7427207609126278,0.0291619400565874,0.703792056496568,0.7739768518033658,0.034657823299169416,0.004993454693875492,0.03025525732609405,0.04164083654882525,,,,
small,det_lora,0.02750355716898827,1.9770038217220044e-05,0.02747629437471159,0.027522558543113165,0.004096672080563586,0.00035154202480642443,0.003607504079190907,0.004418124102118781,0.01394823711469919,1.0055752795501177e-05,0.013934346115603383,0.01395782029400714,0.002077337681679328,0.00017829858012267708,0.0018292067141724721,0.0022402469903439024,0.9892122834992086,0.0006954905090778353,0.9885972188099664,0.990184520397268,0.14934374907627854,0.012684871006211015,0.13191992715309298,0.1617525169269269,0.8266968926744644,0.011741070227714508,0.8182716364562929,0.8433006623121507,0.571707445033706,0.008401944518515335,0.5648492181515913,0.5835396859022985,0.6524001990659116,0.011597308575957043,0.6436881121491508,0.6687904024648551,0.026030076073194144,0.0019988640407071416,0.02378359221955714,0.028639308882003278,small:det_lora,3,"42,43,44",0.030032756771453274,0.0015755567980144036,0.028463450740055535,0.0321872739302401,0.004159370894102603,0.00010579526945206679,0.004073085743998437,0.004308367676493266,0.015285086948662109,0.0008305567601180151,0.01445212183408385,0.016418760997875342,0.0021146490261658418,5.1967029625999623e-05,0.002067587408321459,0.0021870650204372393,0.9766752057650683,0.0020768508101291676,0.9738060882620768,0.978653903742151,0.14458729989299723,0.010451873863060606,0.1303309772345391,0.15509635593626933,0.6524743887374455,0.01853683985749232,0.6383638489727338,0.6786631671458099,0.4461412775911915,0.011262787326206069,0.43717261993915874,0.4620250780046762,0.5070511933222808,0.014629624975338141,0.49346194946450356,0.5273564861785865,0.021015441337177553,0.0006848108034114076,0.020189404021034054,0.021866290463532747,0.0,0.0,0.0,0.0
small,joint_finetuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,small:joint_finetuning,3,"42,43,44",0.033419264134074866,0.004588136513931031,0.029446145836297757,0.03984848501323305,0.006481782246279036,0.003231153183978476,0.004093690143000621,0.011049741223172217,0.017075358260529097,0.00243610842891398,0.014968563976139888,0.020489475589147186,0.0033154616277369002,0.0016707104481402295,0.002078996704852714,0.00567733280552626,0.9940657205711304,0.0034421712575732595,0.9893566673009261,0.9974886232746086,0.19468504125809433,0.07276303352940308,0.14014059905516632,0.29752422895991976,0.9053667615291465,0.0280678953663792,0.874429524989439,0.9423731529408935,0.6859196847121826,0.05128038530337016,0.6433830623771031,0.7580554087836165,0.7987574882791368,0.05981857687844128,0.7466391858224091,0.8825241357399207,0.06500299845227721,0.03905380547490289,0.03377955862225259,0.12006876995889361,,,,
